Id,SalePrice
1461,593.078977457
1462,588.724483966
1463,593.078977457
1464,588.724483966
1465,580.111016028
1466,588.724483966
1467,588.724483966
1468,588.724483966
1469,584.40190814
1470,597.46562429
1471,584.40190814
1472,588.724483966
1473,593.078977457
1474,588.724483966
1475,584.40190814
1476,575.851575394
1477,580.111016028
1478,575.851575394
1479,580.111016028
1480,575.851575394
1481,580.111016028
1482,580.111016028
1483,588.724483966
1484,584.40190814
1485,584.40190814
1486,584.40190814
1487,580.111016028
1488,580.111016028
1489,584.40190814
1490,588.724483966
1491,584.40190814
1492,593.078977457
1493,588.724483966
1494,580.111016028
1495,580.111016028
1496,584.40190814
1497,584.40190814
1498,584.40190814
1499,584.40190814
1500,588.724483966
1501,588.724483966
1502,584.40190814
1503,580.111016028
1504,580.111016028
1505,584.40190814
1506,588.724483966
1507,588.724483966
1508,588.724483966
1509,588.724483966
1510,593.078977457
1511,593.078977457
1512,593.078977457
1513,588.724483966
1514,593.078977457
1515,593.078977457
1516,588.724483966
1517,588.724483966
1518,593.078977457
1519,584.40190814
1520,593.078977457
1521,593.078977457
1522,588.724483966
1523,597.46562429
1524,593.078977457
1525,593.078977457
1526,593.078977457
1527,597.46562429
1528,588.724483966
1529,593.078977457
1530,588.724483966
1531,597.46562429
1532,593.078977457
1533,593.078977457
1534,588.724483966
1535,593.078977457
1536,593.078977457
1537,606.336329413
1538,580.111016028
1539,580.111016028
1540,593.078977457
1541,588.724483966
1542,593.078977457
1543,584.40190814
1544,597.46562429
1545,588.724483966
1546,588.724483966
1547,593.078977457
1548,588.724483966
1549,593.078977457
1550,593.078977457
1551,588.724483966
1552,597.46562429
1553,588.724483966
1554,588.724483966
1555,593.078977457
1556,593.078977457
1557,593.078977457
1558,588.724483966
1559,597.46562429
1560,593.078977457
1561,597.46562429
1562,593.078977457
1563,593.078977457
1564,593.078977457
1565,593.078977457
1566,584.40190814
1567,597.46562429
1568,588.724483966
1569,601.884661885
1570,588.724483966
1571,597.46562429
1572,593.078977457
1573,584.40190814
1574,593.078977457
1575,584.40190814
1576,588.724483966
1577,584.40190814
1578,588.724483966
1579,593.078977457
1580,584.40190814
1581,593.078977457
1582,593.078977457
1583,580.111016028
1584,584.40190814
1585,588.724483966
1586,601.884661885
1587,593.078977457
1588,593.078977457
1589,597.46562429
1590,588.724483966
1591,597.46562429
1592,593.078977457
1593,588.724483966
1594,597.46562429
1595,593.078977457
1596,584.40190814
1597,593.078977457
1598,584.40190814
1599,580.111016028
1600,580.111016028
1601,606.336329413
1602,588.724483966
1603,597.46562429
1604,580.111016028
1605,580.111016028
1606,588.724483966
1607,588.724483966
1608,584.40190814
1609,584.40190814
1610,593.078977457
1611,593.078977457
1612,593.078977457
1613,593.078977457
1614,593.078977457
1615,597.46562429
1616,597.46562429
1617,597.46562429
1618,593.078977457
1619,593.078977457
1620,593.078977457
1621,593.078977457
1622,593.078977457
1623,580.111016028
